Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Fraud_indicator,Hour,DayOfWeek,State_code
Truck,C-103,Regular,Large,350,350,83,0,21,4,KA
Van,B-102,Express,Medium,140,140,71,0,2,5,KA
Sedan,A-101,Regular,Medium,160,160,97,0,6,6,KA
SUV,B-102,Express,Large,180,180,46,0,11,0,KA
Bus ,C-103,Regular,Large,350,350,81,0,15,1,KA
Car,A-101,Express,Small,120,0,64,1,20,2,KA
Motorcycle,D-105,Regular,Small,0,0,93,0,1,3,KA
Truck,C-103,Express,Large,350,350,57,0,6,4,KA
Van,B-102,Regular,Medium,140,140,86,0,11,5,KA
Sedan,A-101,Express,Medium,160,160,55,0,15,6,KA
SUV,B-102,Regular,Large,180,180,82,0,21,0,KA
Bus ,C-103,Express,Large,350,350,63,0,3,1,KA
Car,A-101,Regular,Small,120,90,90,1,7,2,KA
Motorcycle,D-105,Regular,Small,0,0,48,0,12,3,KA
Truck,C-103,Regular,Large,350,350,76,0,16,4,KA
Van,B-102,Express,Medium,140,140,58,0,22,5,KA
Sedan,A-101,Regular,Medium,160,90,87,1,4,6,KA
SUV,B-102,Express,Large,180,180,67,0,8,0,KA
Bus ,C-103,Regular,Large,350,350,94,0,13,1,KA
Car,A-101,Express,Small,120,120,71,0,18,2,KA
Motorcycle,D-105,Regular,Small,0,0,89,0,23,3,KA
Truck,C-103,Express,Large,350,350,52,0,5,4,KA
Van,B-102,Regular,Medium,140,140,79,0,9,5,KA
Sedan,A-101,Express,Medium,160,100,66,1,14,6,KA
SUV,B-102,Regular,Large,180,180,95,0,18,0,KA
Bus ,C-103,Express,Large,350,100,44,1,23,1,KA
Car,A-101,Regular,Small,120,180,78,1,3,2,KA
Motorcycle,D-105,Regular,Small,0,0,61,0,7,3,KA
Truck,C-103,Regular,Large,350,160,85,1,12,4,KA
Van,B-102,Express,Medium,140,120,49,1,16,5,KA
Sedan,A-101,Regular,Medium,160,120,74,1,21,6,KA
SUV,B-102,Express,Large,180,120,69,1,3,0,KA
Bus ,C-103,Regular,Large,350,350,92,0,8,1,KA
Car,A-101,Express,Small,120,120,57,0,13,2,KA
Motorcycle,D-105,Regular,Small,0,0,83,0,18,3,KA
Truck,C-103,Express,Large,350,350,68,0,23,4,KA
Van,B-102,Regular,Medium,140,140,96,0,5,5,KA
Sedan,A-101,Express,Medium,160,160,46,0,10,6,KA
SUV,B-102,Regular,Large,180,180,81,0,14,0,KA
Bus ,C-103,Express,Large,350,90,60,1,19,1,KA
Car,A-101,Regular,Small,120,120,88,0,0,2,KA
Motorcycle,D-105,Regular,Small,0,0,53,0,6,3,KA
Truck,C-103,Regular,Large,350,120,77,1,11,4,KA
Van,B-102,Express,Medium,140,140,64,0,15,5,KA
Sedan,A-101,Regular,Medium,160,100,91,1,21,6,KA
SUV,B-102,Express,Large,180,90,50,1,2,0,KA
Bus ,C-103,Regular,Large,350,120,75,1,6,1,KA
Car,A-101,Express,Small,120,90,59,1,11,2,KA
Motorcycle,D-105,Regular,Small,0,0,84,0,16,3,KA
Truck,C-103,Express,Large,350,60,66,1,21,4,KA
Van,B-102,Regular,Medium,140,140,93,0,2,5,KA
Sedan,A-101,Express,Medium,160,160,45,0,7,6,KA
SUV,B-102,Regular,Large,180,120,80,1,12,0,KA
Bus ,C-103,Express,Large,350,350,62,0,16,1,KA
Car,A-101,Regular,Small,120,120,86,0,22,2,KA
Motorcycle,D-105,Regular,Small,0,0,51,0,3,3,KA
Truck,C-103,Regular,Large,350,100,73,1,7,4,KA
Van,B-102,Express,Medium,140,140,56,0,12,5,KA
Sedan,A-101,Regular,Medium,160,160,82,0,15,6,KA
SUV,B-102,Express,Large,180,180,70,0,21,0,KA
Bus ,C-103,Regular,Large,350,120,97,1,2,1,KA
Car,A-101,Express,Small,120,120,47,0,6,2,KA
Motorcycle,D-105,Regular,Small,0,0,84,0,11,3,KA
Truck,C-103,Express,Large,350,350,65,0,15,4,KA
Van,B-102,Regular,Medium,140,140,92,0,20,5,KA
Sedan,A-101,Express,Medium,160,160,53,0,1,6,KA
SUV,B-102,Regular,Large,180,140,79,1,6,0,KA
Bus ,C-103,Express,Large,350,350,61,0,11,1,KA
Car,A-101,Regular,Small,120,0,89,1,15,2,KA
Motorcycle,D-105,Regular,Small,0,0,44,0,21,3,KA
Truck,C-103,Regular,Large,350,350,78,0,3,4,KA
Van,B-102,Express,Medium,140,140,67,0,7,5,KA
Sedan,A-101,Regular,Medium,160,140,95,1,12,6,KA
SUV,B-102,Express,Large,180,180,55,0,16,0,KA
Bus ,C-103,Regular,Large,350,350,80,0,22,1,KA
Car,A-101,Express,Small,120,90,62,1,4,2,KA
Motorcycle,D-105,Regular,Small,0,0,87,0,8,3,KA
Truck,C-103,Express,Large,350,350,47,0,8,6,KA
Van,B-102,Regular,Medium,140,100,73,1,12,0,KA
Sedan,A-101,Express,Medium,160,160,68,0,16,1,KA
SUV,B-102,Regular,Large,180,100,91,1,22,2,KA
Bus ,C-103,Express,Large,350,120,52,1,5,3,KA
Car,A-101,Regular,Small,120,120,82,0,11,4,KA
Motorcycle,D-105,Regular,Small,0,0,56,0,14,5,KA
Truck,C-103,Regular,Large,350,350,84,0,18,6,KA
Van,B-102,Express,Medium,140,140,69,0,2,0,KA
Sedan,A-101,Regular,Medium,160,160,94,0,6,1,KA
SUV,B-102,Express,Large,180,180,49,0,10,2,KA
Bus ,C-103,Regular,Large,350,350,76,0,15,3,KA
Car,A-101,Express,Small,120,120,63,0,20,4,KA
Motorcycle,D-105,Regular,Small,0,0,88,0,1,5,KA
Truck,C-103,Express,Large,350,350,74,0,7,6,KA
Van,B-102,Regular,Medium,140,140,96,0,12,0,KA
Sedan,A-101,Express,Medium,160,100,61,1,17,1,KA
SUV,B-102,Regular,Large,180,180,85,0,22,2,KA
Bus ,C-103,Express,Large,350,350,52,0,4,3,KA
Car,A-101,Regular,Small,120,120,79,0,8,4,KA
Motorcycle,D-105,Regular,Small,0,0,66,0,13,5,KA
Truck,C-103,Regular,Large,350,90,90,1,16,6,KA
Van,B-102,Express,Medium,140,120,48,1,22,0,KA
Sedan,A-101,Regular,Medium,160,160,77,0,2,1,KA
SUV,B-102,Express,Large,180,180,60,0,7,2,KA
Bus ,C-103,Regular,Large,350,350,83,0,12,3,KA
Car,A-101,Express,Small,120,120,71,0,15,4,KA
Motorcycle,D-105,Regular,Small,0,0,97,0,21,5,KA
Truck,C-103,Express,Large,350,350,46,0,3,6,KA
Van,B-102,Regular,Medium,140,140,81,0,7,0,KA
Sedan,A-101,Express,Medium,160,160,64,0,11,1,KA
SUV,B-102,Regular,Large,180,90,93,1,16,2,KA
Bus ,C-103,Express,Large,350,350,57,0,21,3,KA
Car,A-101,Regular,Small,120,120,86,0,3,4,KA
Motorcycle,D-105,Regular,Small,0,0,55,0,8,5,KA
Truck,C-103,Regular,Large,350,350,82,0,13,6,KA
Van,B-102,Express,Medium,140,140,63,0,18,0,KA
Sedan,A-101,Regular,Medium,160,160,90,0,23,1,KA
SUV,B-102,Express,Large,180,160,48,1,5,2,KA
Bus ,C-103,Regular,Large,350,100,76,1,9,3,KA
Car,A-101,Express,Small,120,120,58,0,14,4,KA
Motorcycle,D-105,Regular,Small,0,0,87,0,17,5,KA
Truck,C-103,Express,Large,350,350,67,0,23,6,KA
Van,B-102,Regular,Medium,140,90,94,1,4,0,KA
Sedan,A-101,Express,Medium,160,160,71,0,8,1,KA
SUV,B-102,Regular,Large,180,180,89,0,13,2,KA
Bus ,C-103,Express,Large,350,350,52,0,16,3,KA
Car,A-101,Regular,Small,120,0,79,1,22,4,KA
Motorcycle,D-105,Regular,Small,0,0,66,0,4,5,KA
Truck,C-103,Regular,Large,350,350,95,0,8,6,KA
Van,B-102,Express,Medium,140,140,44,0,13,0,KA
Sedan,A-101,Regular,Medium,160,120,78,1,18,1,KA
SUV,B-102,Express,Large,180,180,61,0,22,2,KA
Bus ,C-103,Regular,Large,350,350,85,0,4,3,KA
Car,A-101,Express,Small,120,120,49,0,8,4,KA
Motorcycle,D-105,Regular,Small,0,0,74,0,13,5,KA
Truck,C-103,Express,Large,350,350,69,0,18,6,KA
Van,B-102,Regular,Medium,140,140,92,0,23,0,KA
Sedan,A-101,Express,Medium,160,100,57,1,5,1,KA
SUV,B-102,Regular,Large,180,90,83,1,9,2,KA
Bus ,C-103,Express,Large,350,350,68,0,14,3,KA
Car,A-101,Regular,Small,120,100,96,1,18,4,KA
Motorcycle,D-105,Regular,Small,0,0,46,0,23,5,KA
Truck,C-103,Regular,Large,350,120,81,1,3,6,KA
Van,B-102,Express,Medium,140,140,60,0,7,0,KA
Sedan,A-101,Regular,Medium,160,160,88,0,12,1,KA
SUV,B-102,Express,Large,180,100,53,1,16,2,KA
Bus ,C-103,Regular,Large,350,350,77,0,21,3,KA
Car,A-101,Express,Small,120,120,64,0,3,4,KA
Motorcycle,D-105,Regular,Small,0,0,91,0,8,5,KA
Truck,C-103,Express,Large,350,350,50,0,13,6,KA
Van,B-102,Regular,Medium,140,140,75,0,18,0,KA
Sedan,A-101,Express,Medium,160,160,59,0,23,1,KA
SUV,B-102,Regular,Large,180,180,84,0,5,2,KA
Bus ,C-103,Express,Large,350,350,66,0,10,3,KA
Car,A-101,Regular,Small,120,120,93,0,14,4,KA
Motorcycle,D-105,Regular,Small,0,0,45,0,19,5,KA
Truck,C-103,Regular,Large,350,90,80,1,0,6,KA
Van,B-102,Express,Medium,140,140,62,0,6,0,KA
Sedan,A-101,Regular,Medium,160,160,86,0,11,1,KA
SUV,B-102,Express,Large,180,180,51,0,15,2,KA
Bus ,C-103,Regular,Large,350,90,73,1,21,3,KA
